Gender,Age,Education,Employment,marital,fshopper,mplanner,easy,familiarity,friends,Useful,Easiness,Sufficient,Trusfulness,Clear,netquan,low in fat,low in cho,sodium,e labels
0,44,5,1,0,0,1,5,3,5,3,4,5,3,5,0,2,3,2,0
0,38,4,1,0,0,1,3,3,4,3,4,5,3,5,1,2,1,2,0
0,34,4,5,1,1,1,1,4,4,5,4,5,4,5,0,2,3,2,1
0,36,5,4,1,1,1,2,2,5,5,5,4,4,5,2,2,2,3,1
0,25,5,4,0,1,1,2,2,4,5,5,4,5,5,2,2,1,3,1
0,25,5,4,0,1,1,2,2,5,5,5,4,5,5,2,2,2,4,1
0,24,5,4,0,1,1,4,5,5,5,5,4,5,5,2,1,3,3,1
0,24,5,4,0,1,1,2,3,5,4,4,4,4,5,2,2,2,1,1
0,28,5,4,1,1,1,1,3,5,4,4,4,4,5,1,2,1,4,1
0,30,4,5,1,0,1,1,4,5,3,4,4,2,3,0,1,0,1,0
0,28,3,5,1,1,1,1,2,4,3,4,4,3,3,1,1,2,3,0
0,41,4,2,1,0,1,1,1,5,3,4,2,3,3,1,0,3,3,0
0,28,5,1,1,1,1,1,5,4,4,5,2,3,5,0,0,1,2,1
0,28,5,1,1,1,1,2,4,5,4,5,2,4,5,1,1,3,2,1
0,28,4,4,1,1,1,5,2,4,4,5,2,3,5,1,1,2,3,1
0,28,4,4,1,1,1,1,2,5,4,5,3,3,1,2,2,2,4,1
0,29,4,4,1,1,1,3,3,5,4,5,3,3,2,2,2,2,3,1
0,29,4,4,1,1,1,3,2,4,4,5,3,3,1,2,2,2,1,1
0,29,4,4,1,1,1,1,3,5,4,5,3,4,5,1,2,3,1,1
0,35,2,5,1,1,1,5,3,5,3,3,3,3,5,1,1,3,2,0
0,29,4,2,1,0,1,1,5,5,4,4,3,4,5,1,0,0,4,1
0,29,4,2,1,0,1,4,3,5,4,4,3,4,5,1,0,3,4,1
0,37,4,2,1,0,1,1,3,5,4,4,3,4,5,1,0,1,3,1
0,37,4,2,1,0,1,3,3,4,4,4,3,4,5,1,1,2,4,1
0,58,3,6,1,0,0,3,5,4,4,4,3,4,5,2,1,3,4,1
0,52,3,5,1,0,1,1,1,4,4,4,3,4,3,2,0,2,2,1
0,56,3,6,1,0,1,2,3,5,3,3,3,3,4,2,1,3,3,1
0,54,5,1,1,0,1,1,2,5,4,5,3,4,5,2,0,2,1,1
0,57,5,6,1,0,0,2,1,4,4,5,3,4,5,2,1,2,3,1
0,54,5,1,1,0,1,4,3,4,4,5,3,4,5,2,1,3,3,1
0,51,5,1,1,0,1,2,2,4,4,5,3,4,5,2,3,2,3,1
0,59,4,6,1,0,1,1,2,4,4,5,3,4,5,2,2,1,1,1
0,55,4,6,0,0,1,1,3,4,4,5,3,4,5,2,2,1,4,1
0,56,5,6,1,1,1,2,3,4,4,5,3,4,5,2,0,3,2,1
0,53,5,5,1,1,1,1,3,4,4,5,3,4,5,2,2,1,4,0
0,54,5,5,1,1,1,1,2,4,4,5,3,4,1,2,2,1,2,0
0,56,5,1,0,1,1,2,2,4,4,5,3,4,5,2,2,2,4,1
0,47,5,5,1,1,1,1,3,4,4,5,3,4,5,2,1,2,4,1
0,57,5,6,1,1,1,2,5,4,4,5,3,4,5,2,2,2,4,1
0,51,5,1,1,1,0,2,2,4,5,5,3,4,5,2,1,2,4,1
0,37,3,1,1,0,1,2,5,5,3,4,4,3,5,1,1,3,3,0
0,38,4,1,0,1,1,5,4,5,3,5,4,2,5,2,2,0,2,0
0,31,3,1,1,1,1,2,5,4,3,5,4,3,5,2,2,2,3,0
0,39,5,1,1,0,1,3,4,4,3,5,4,3,5,2,2,2,2,0
0,31,2,3,0,0,1,2,4,4,3,4,0,3,5,2,1,0,4,0
0,56,5,6,1,1,1,5,3,4,4,4,3,4,5,1,2,3,1,1
0,54,4,5,1,1,1,2,4,5,4,4,3,3,5,0,2,2,4,1
0,60,5,6,1,1,1,1,4,5,4,4,3,4,5,0,1,1,4,1
0,44,5,1,1,1,1,2,3,5,4,4,3,4,5,2,2,1,2,0
0,65,4,6,1,0,0,2,2,4,4,4,3,3,5,2,2,2,4,1
0,61,5,6,1,0,0,2,2,4,4,4,4,3,5,2,0,3,3,0
0,56,5,1,1,0,1,1,4,5,4,4,4,3,5,2,1,2,3,0
